id,world,english,chinese
cat,0,cat,猫
dog,0,dog,狗
bird,0,bird,鸟
fish,0,fish,鱼
duck,0,duck,鸭子
rabbit,0,rabbit,兔子
panda,0,panda,熊猫
tiger,0,tiger,老虎
lion,0,lion,狮子
monkey,0,monkey,猴子
elephant,0,elephant,大象
bear,0,bear,熊
apple,1,apple,苹果
banana,1,banana,香蕉
pear,1,pear,梨
grape,1,grape,葡萄
peach,1,peach,桃子
watermelon,1,watermelon,西瓜
milk,1,milk,牛奶
bread,1,bread,面包
rice,1,rice,米饭
egg,1,egg,鸡蛋
water,1,water,水
cake,1,cake,蛋糕
book,2,book,书
pen,2,pen,钢笔
pencil,2,pencil,铅笔
eraser,2,eraser,橡皮
ruler,2,ruler,尺子
bag,2,bag,包
desk,2,desk,课桌
chair,2,chair,椅子
door,2,door,门
window,2,window,窗户
teacher,2,teacher,老师
student,2,student,学生
