id,category,quote,source_title,source_url
01,行动,"做你想做的，做你该做的，不要为了怕被利用而选择不作为。",维基语录：罗永浩,https://zh.wikiquote.org/wiki/罗永浩
02,理想,"激烈的理想主义者和彻底的虚无主义者，其实只有一步之遥。",维基语录：罗永浩,https://zh.wikiquote.org/wiki/罗永浩
03,思考,"如果想都不想就去禁忌，一定是有坏处的。",维基语录：罗永浩,https://zh.wikiquote.org/wiki/罗永浩
04,思考,"很多我们感觉天经地义的事情，其实经不起推敲。",维基语录：罗永浩,https://zh.wikiquote.org/wiki/罗永浩
05,坦荡,"我一直坦荡荡，只有我不答的，没有你不能问的。",维基语录：罗永浩,https://zh.wikiquote.org/wiki/罗永浩
06,归来,我将若无其事地归来开放。,维基语录：罗永浩,https://zh.wikiquote.org/wiki/罗永浩
07,彪悍,"彪悍的人生，不需要解释。",南方都市报专访（搜狐转载）,https://news.sohu.com/20060404/n242621013.shtml
08,理想,"通过实现理想，让人相信实现理想是可能的。",维基语录：罗永浩,https://zh.wikiquote.org/wiki/罗永浩
09,转型,"实际的情况是：转型的过程里，一般是嘲笑比较多，转型完了就没事了。",鲁豫有约访谈实录（IT之家转载）,https://www.ithome.com/0/214/423.htm
10,热爱,"如果我能从事一个行业，一直做到死不换，不是说我坚持了什么，是幸运。",鲁豫有约访谈实录（IT之家转载）,https://www.ithome.com/0/214/423.htm
11,产品,"制造业里会把这种性格当作是美德，就是工匠精神这个东西。",鲁豫有约访谈实录（IT之家转载）,https://www.ithome.com/0/214/423.htm
12,选择,"但这个人不停地去尝试新的，今天一个，明天一个，我觉得这也没什么不好。",鲁豫有约访谈实录（IT之家转载）,https://www.ithome.com/0/214/423.htm
