id,kind,name,cost,role,ability,tip,clue,color
peashooter,0,豌豆射手,100,直线输出,沿着所在行发射豌豆。,坚果在前，射手在后。,我的嘴像炮筒，会吐绿色豆子。,65B84C
sunflower,0,向日葵,50,阳光生产,持续生产阳光。,先有阳光，才有更多守卫。,我笑起来像太阳，还会生产阳光。,F4BD38
cherry,0,樱桃炸弹,150,范围爆破,炸掉附近一片僵尸。,敌人聚在一起时再出手。,我们是红色双胞胎，一起爆炸。,ED5B52
wallnut,0,坚果墙,50,前排防守,用坚硬外壳阻挡啃咬。,给后排射手多争取时间。,我没有武器，靠硬壳挡在前面。,BE8B4F
potato,0,土豆地雷,25,埋伏爆破,出土就绪后接触爆炸。,提前布置，等敌人走过来。,我躲在土里，准备好才会炸。,D4AD74
snowpea,0,寒冰射手,175,减速支援,冰豌豆能减慢敌人。,减速配合持续火力更从容。,我也吐豆子，却能让敌人变慢。,74CDE3
chomper,0,大嘴花,150,近身吞食,一口吞下靠近的僵尸。,吞完要咀嚼，记得保护它。,我嘴巴很大，吃完要嚼好久。,AE79C5
repeater,0,双发射手,200,双倍连射,每轮连续发射两颗豌豆。,适合加强单行的火力。,我每次连吐两颗绿色豆子。,469D53
puff,0,小喷菇,0,夜间近攻,免费发射近距离孢子。,白天会睡觉，夜晚更合适。,我是免费的小蘑菇，射程不远。,BA9ACD
lily,0,睡莲,25,水面支架,让其他植物种在水面。,先铺好水路，再安排队友。,我像浮在水面的绿色小托盘。,67BA75
squash,0,窝瓜,50,近身重压,跳起压扁附近的敌人。,留给靠得太近的麻烦。,我皱着眉，跳起来把敌人压扁。,9CC965
jalapeno,0,火爆辣椒,125,整行清场,烈焰清除一整行敌人。,一行告急时用它救场。,我很火辣，出手就是一整行火。,EF7250
torch,0,火炬树桩,175,火力辅助,让经过的普通豌豆着火。,把它放在豌豆射手前方。,我头上燃着火，帮豌豆变火球。,D6904C
tallnut,0,高坚果,125,高墙防守,高大的身躯阻挡撑杆跳。,对付爱跳跃的敌人很实用。,我比普通坚果高，撑杆也难跳过。,B58555
cactus,0,仙人掌,125,对空守卫,尖刺可以击破僵尸气球。,看到空中来客就安排它。,我浑身带刺，还能扎破气球。,5BAE78
magnet,0,磁力菇,100,金属克星,吸走铁桶等金属装备。,移走护甲，更容易击败。,我戴着磁铁，喜欢收走铁桶。,BA81BE
zombie,1,普通僵尸,-1,基础敌人,缓慢前进并啃咬植物。,尽早用远程火力拦住它。,我没戴帽子，慢慢走来啃植物。,98B090
cone,1,路障僵尸,-1,路障护甲,头顶路障增加防护。,用更多火力打掉路障。,我把橙色交通路障戴在头上。,EB9959
bucket,1,铁桶僵尸,-1,铁桶护甲,铁桶让它更耐打。,磁力菇可以移走铁桶。,我把金属水桶当作头盔。,9EAEB8
pole,1,撑杆僵尸,-1,跳跃突进,用撑杆越过遇到的矮植物。,高坚果能拦住它的跳跃。,我带着长杆，能跳过矮植物。,DD8666
paper,1,读报僵尸,-1,破报加速,报纸被打破后移动变快。,报纸破了就要提高警惕。,我在看报纸，报纸破了会生气。,B7C0AC
football,1,橄榄球僵尸,-1,快速重甲,穿着厚护甲快速前进。,用磁力菇移走金属头盔。,我穿红色球服，跑得快又耐打。,D45E52
balloon,1,气球僵尸,-1,空中来客,借气球飞过地面防线。,用仙人掌刺破气球。,我抓着气球，从植物上方飞过。,D9A4CF
gargantuar,1,伽刚特尔,-1,巨人重击,挥动武器砸坏挡路植物。,重火力和爆破一起应对。,我是大块头，还背着小鬼。,A3AE83
